rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,3-Jan,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
1211,Kristijan Jakić,Croatia,MF,Eint Frankfurt,Bundesliga,26,1997,4,200,0,0,0,0,0,0,0,3,11,0,0,3,3,33.3,0,1,2,2,0,0,0,0,0,0,0,0,91,111,82,356,85.7,92.7,66.7,1,6,0,8,2,0,100,3,4,1,3,0,1,0,0,0,0,62.5,0.9,0,0,2023-2024
1226,Fredrik Jensen,Finland,MF,Augsburg,Bundesliga,25,1997,22,1338,2,4,6,2,0,0.9,0.9,22,46,0.13,0.27,23,11,50,1,29,12,21,0,0,0,0,0,0,0,0,290,476,60.9,2039,75.3,72.1,39.8,32,30,14,29,26,19.2,76.9,22,9,6,10,2,14,35.7,0.34,0.14,0.4,53.3,3.36,0.54,0,2023-2024
1228,Moritz Jenz,Germany,DF,Wolfsburg,Bundesliga,24,1999,22,1742,0,1,1,0,0,0.3,0.3,2,47,0,0.05,34,24,66.7,17,12,26,94,0,0,0,0,0,0,0,0,941,1068,88.1,6685,94,92.3,54.6,4,41,1,163,1,100,0,2,3,0,2,0,7,0,0,0,0,68.6,0.67,0.05,0,2023-2024
1257,Anthony Jung,Germany,DF,Werder Bremen,Bundesliga,31,1991,31,2579,1,0,1,1,0,0.6,0.6,24,107,0.03,0,37,23,54.5,17,22,24,102,0,0,0,0,0,0,0,0,1553,1795,86.5,10414,93.3,90.7,63.7,6,90,10,285,6,83.3,0,24,11,1,2,1,5,20,0.03,0.2,1,62.9,0.87,0.03,0,2023-2024
1262,Josip Juranović,Croatia,DF,Union Berlin,Bundesliga,27,1995,21,1294,0,2,2,0,0,1.4,0.6,22,52,0,0.14,20,14,47.6,3,14,12,27,1,0,0,0,0,0,0,0,513,725,70.8,4748,88.8,77,48.9,39,48,16,50,24,41.7,45.8,22,12,3,6,0,11,18.2,0.14,0,0,42.9,4.25,0.28,0,2023-2024
1263,David Jurásek,Czech Republic,DF,Hoffenheim,Bundesliga,22,2000,13,496,0,1,1,0,0,0.2,0.2,12,12,0,0.18,14,11,41.2,2,5,3,22,1,0,0,0,0,0,0,0,166,256,64.8,1295,87.7,70,22.2,6,6,6,37,13,23.1,69.2,12,7,2,1,0,5,40,0.36,0,0,62.5,2,0.54,0,2023-2024
1264,Julian Justvan,Germany,FW,Hoffenheim,Bundesliga,25,1998,4,49,0,0,0,0,0,0,0,8,5,0,0,1,0,50,0,1,0,0,0,0,0,0,0,0,0,0,35,55,63.6,223,74.1,63.2,60,0,4,3,1,0,0,0,8,4,1,1,0,1,0,0,0,0,0,0,0,0,2023-2024
1265,Julian Justvan,Germany,MF,Darmstadt 98,Bundesliga,25,1998,14,1023,2,2,4,2,0,0.9,0.9,20,56,0.18,0.18,10,4,17.6,2,10,11,6,1,0,0,0,0,0,0,0,294,408,72.1,2012,85.5,75.5,52.2,23,34,19,15,37,43.2,51.4,20,19,5,10,2,17,23.5,0.35,0.12,0.5,6.3,4.05,0.18,0,2023-2024
1270,Ozan Kabak,Turkey,DF,Hoffenheim,Bundesliga,23,2000,28,2282,4,0,4,4,0,2.2,2.2,21,110,0.16,0,48,35,57.6,21,22,46,106,2,0,0,0,0,0,0,0,1159,1358,85.3,7126,90.4,91.3,54.1,8,92,16,175,15,60,33.3,21,21,2,5,4,19,36.8,0.28,0.21,0.57,59.1,0.87,0.08,0,2023-2024
1275,Pavel Kadeřábek,Czech Republic,DF,Hoffenheim,Bundesliga,31,1992,29,2412,3,4,7,3,0,2.5,2.5,38,88,0.11,0.15,31,19,45,8,14,23,68,0,0,0,0,0,0,0,0,888,1273,69.8,5402,83.8,69,38.5,36,70,31,80,15,20,73.3,38,24,9,11,3,19,31.6,0.22,0.16,0.5,49.2,2.28,0.19,0,2023-2024
1279,Florian Kainz,Austria,MF,Köln,Bundesliga,30,1992,33,2197,5,4,9,0,5,5,1,40,124,0.2,0.16,28,20,43.6,6,14,13,23,1,0,0,0,0,0,0,0,770,1119,68.8,4837,85,78.3,40.3,53,76,31,35,42,54.8,40.5,40,39,8,25,5,23,17.4,0.16,0,0,32.4,4.02,0.33,0,2023-2024
1281,Sasa Kalajdzic,Austria,FW,Eint Frankfurt,Bundesliga,26,1997,5,325,0,1,1,0,0,0.2,0.2,1,8,0,0.28,2,2,0,2,0,2,6,0,0,0,0,0,0,0,0,61,79,77.2,179,84.2,66.7,83.3,3,7,1,8,3,33.3,66.7,1,3,0,2,0,2,50,0.28,0,0,45,2.22,0.55,0,2023-2024
1291,Jakub Kamiński,Poland,FW,Wolfsburg,Bundesliga,21,2002,17,473,0,2,2,0,0,0.5,0.5,13,18,0,0.38,14,5,50,0,3,2,5,0,0,0,0,0,0,0,0,152,195,77.9,587,88.4,81.1,40,6,11,7,6,12,8.3,91.7,13,5,9,14,0,10,30,0.57,0,0,25,1.33,0.38,0,2023-2024
1293,Kevin Kampl,Slovenia,MF,RB Leipzig,Bundesliga,32,1990,26,1363,1,0,1,1,0,0.2,0.2,28,88,0.07,0,19,8,47.6,7,12,11,14,1,0,0,0,0,0,0,0,931,1019,91.4,3486,95.1,93,76.3,15,67,12,27,14,71.4,21.4,28,27,1,14,1,6,16.7,0.07,0.17,1,23.1,2.51,0.2,0,2023-2024
1294,Harry Kane,England,FW,Bayern Munich,Bundesliga,30,1993,32,2839,36,8,44,31,5,30.6,26.7,36,102,1.14,0.25,13,9,33.3,4,8,6,14,0,0,0,0,0,0,0,0,474,664,71.4,2715,81.2,74.8,64.9,31,66,41,19,59,40.7,50.8,36,25,14,45,36,141,43.3,1.93,0.22,0.51,46.9,2.63,0.35,0,2023-2024
1300,Emir Karic,Austria,DF,Darmstadt 98,Bundesliga,26,1997,27,1783,0,0,0,0,0,0.4,0.4,56,115,0,0,45,27,63.6,11,31,13,43,0,0,0,0,0,0,0,0,953,1210,78.8,6219,89.3,82.2,53.3,21,89,27,69,29,62.1,34.5,56,32,1,10,0,12,25,0.15,0,0,56.8,2.37,0.1,0,2023-2024
1306,Silas Katompa,Democratic Republic of the Congo,FW,Stuttgart,Bundesliga,24,1998,27,900,5,2,7,5,0,5.7,4.9,49,25,0.5,0.2,5,3,25,0,9,0,4,0,0,0,0,0,0,0,0,210,279,75.3,617,83,85,45.8,15,6,15,6,76,50,40.8,49,29,21,20,5,23,34.8,0.8,0.22,0.63,31.3,4.2,0.7,0,2023-2024
1308,Mikkel Kaufmann,Denmark,FW,Union Berlin,Bundesliga,22,2001,18,486,1,0,1,1,0,1.3,1.3,6,11,0.19,0,6,3,30,0,12,1,4,0,0,0,0,0,0,0,0,67,126,53.2,318,60,51.6,62.5,4,13,1,4,10,30,70,6,1,4,10,1,15,40,1.11,0.07,0.17,43.3,2.22,0.18,0,2023-2024
1318,Naby Keïta,Guinea,MF,Werder Bremen,Bundesliga,28,1995,5,109,0,0,0,0,0,0.1,0.1,1,13,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,52,67,77.6,293,81.5,82.1,50,0,8,2,1,6,66.7,33.3,1,1,0,1,0,2,0,0,0,0,0,1.64,0.82,0,2023-2024
1319,Yannik Keitel,Germany,DF,Freiburg,Bundesliga,23,2000,15,920,1,0,1,1,0,0.7,0.7,4,48,0.1,0,20,15,66.7,8,9,12,44,3,0,0,0,0,0,0,0,443,560,79.1,3894,85.3,91.9,49.6,2,49,4,92,6,50,50,4,3,1,3,1,6,33.3,0.2,0.17,0.5,57.5,1.08,0.2,0,2023-2024
1324,Aljoscha Kemlein,Germany,MF,Union Berlin,Bundesliga,18,2004,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9,77.8,52,75,100,100,0,1,0,0,1,100,0,0,0,0,0,0,1,0,0,0,0,0,3.1,0,0,2023-2024
1325,Tobias Kempe,Germany,MF,Darmstadt 98,Bundesliga,34,1989,24,1350,3,2,5,0,3,3.6,1.2,15,44,0.2,0.13,20,13,33.3,4,12,9,12,0,0,0,0,0,0,0,0,413,557,74.1,2095,88.8,79.4,47.5,28,38,5,22,19,42.1,52.6,15,12,3,11,3,18,5.6,0.07,0,0,39.4,3.8,0.53,0,2023-2024
1330,Rani Khedira,Germany,MF,Union Berlin,Bundesliga,29,1994,20,1343,0,0,0,0,0,0.4,0.4,6,35,0,0,35,22,65.4,5,7,22,38,0,0,0,0,0,0,0,0,329,450,73.1,1287,83.3,77.6,42.2,5,21,5,43,8,50,37.5,6,5,0,9,0,3,33.3,0.07,0,0,51.4,0.54,0,0,2023-2024
1333,Luca Kilian,Germany,DF,Köln,Bundesliga,23,1999,13,635,0,0,0,0,0,0,0,7,12,0,0,16,9,64.3,5,7,7,28,0,0,0,0,0,0,0,0,241,317,76,1173,84.5,85.1,37.3,1,11,0,51,1,0,100,7,3,0,0,0,0,0,0,0,0,58.8,0.43,0,0,2023-2024
1335,Joshua Kimmich,Germany,MF,Bayern Munich,Bundesliga,28,1995,28,2176,1,6,7,1,0,1.1,1.1,56,229,0.04,0.25,45,33,66.7,4,28,14,28,1,0,0,0,0,0,0,0,1951,2267,86.1,10089,93.6,91.1,58.4,72,188,51,75,25,40,48,56,66,4,16,1,25,28,0.29,0.04,0.14,26.3,5.29,0.45,0,2023-2024
1339,Christoph Klarer,Austria,DF,Darmstadt 98,Bundesliga,23,2000,30,2354,2,2,4,2,0,1.2,1.2,9,64,0.08,0.08,37,22,66.7,20,11,21,94,1,0,0,0,0,0,0,0,1044,1200,87,6575,92.6,92.6,63.1,12,58,4,183,7,85.7,14.3,9,7,2,6,2,9,22.2,0.08,0.22,1,52.5,0.84,0.08,0,2023-2024
1340,Tim Kleindienst,Germany,FW,Heidenheim,Bundesliga,27,1995,33,2869,12,3,15,10,2,13.9,12.3,40,73,0.38,0.09,21,12,28,8,24,12,58,0,0,0,0,0,0,0,0,516,874,59,1708,63.9,63.6,63.8,27,58,10,66,63,30.2,65.1,40,37,16,56,12,81,38.3,0.97,0.12,0.32,60.5,2.23,0.35,0,2023-2024
1341,Lukas Klostermann,Germany,DF,RB Leipzig,Bundesliga,27,1996,25,1436,1,0,1,1,0,0.7,0.7,14,90,0.06,0,15,10,30.8,12,13,13,64,1,0,0,0,0,0,0,0,1035,1155,89.6,6293,91.4,94.3,68.8,5,77,7,101,1,0,100,14,9,0,0,1,6,33.3,0.13,0.17,0.5,33.3,0.88,0,0,2023-2024
1343,Ansgar Knauff,Germany,MF,Eint Frankfurt,Bundesliga,21,2002,31,2109,7,2,9,7,0,5.7,5.7,77,57,0.3,0.09,43,26,54.8,3,37,20,15,0,0,0,0,0,0,0,0,475,747,63.6,2278,77.2,65.3,43.3,18,25,26,20,64,39.1,51.6,77,34,38,26,7,37,35.1,0.55,0.19,0.54,34.8,2.6,0.26,0,2023-2024
1344,Robin Knoche,Germany,DF,Union Berlin,Bundesliga,31,1992,24,1917,1,0,1,1,0,1.2,0.4,2,71,0.05,0,34,22,63.3,19,8,13,73,0,0,0,0,0,0,0,0,931,1153,80.7,7064,87.6,88.9,52.5,3,49,3,135,5,60,20,2,4,0,0,1,7,42.9,0.14,0.14,0.33,52.9,0.61,0,0,2023-2024
1345,Gregor Kobel,Switzerland,GK,Dortmund,Bundesliga,25,1997,27,2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,34,1.29,84,75.4,7,25.9,16.7,974,1175,82.9,15016,99.5,99,57.6,0,13,1,945,1,100,0,0,0,0,0,0,0,0,0,0,0,100,0.15,0,1.9,2023-2024
1346,Robin Koch,Germany,DF,Eint Frankfurt,Bundesliga,27,1996,31,2738,2,0,2,2,0,3.1,3.1,14,116,0.07,0,38,23,63,24,9,32,136,2,0,0,0,0,0,0,0,1902,2161,88,12775,92.5,93.5,60.3,4,97,4,353,4,50,50,14,15,0,2,2,24,20.8,0.16,0.08,0.4,61.5,0.59,0.1,0,2023-2024
1348,Dominik Kohr,Germany,DF,Mainz 05,Bundesliga,29,1994,31,2184,1,0,1,1,0,1.6,1.6,19,99,0.04,0,65,42,63.2,6,21,43,58,0,0,0,0,0,0,0,0,876,1159,75.6,5668,83.6,84.1,45.3,15,87,15,81,11,45.5,54.5,19,10,2,4,1,25,28,0.29,0.04,0.14,50.6,1.15,0,0,2023-2024
1353,Randal Kolo Muani,France,FW,Eint Frankfurt,Bundesliga,24,1998,2,153,1,0,1,1,0,1.3,1.3,6,3,0.59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,26,65.4,67,73.3,75,50,0,2,1,1,15,26.7,66.7,6,4,2,8,1,5,20,0.59,0.2,1,44.4,0.59,0,0,2023-2024
1354,Mert Kömür,Germany,MF,Augsburg,Bundesliga,18,2005,4,118,1,0,1,1,0,0.2,0.2,7,4,0.76,0,3,3,60,0,0,0,1,0,0,0,0,0,0,0,0,30,34,88.2,132,89.5,100,100,1,1,2,1,4,0,75,7,5,1,2,1,2,50,0.76,0.5,1,0,3.81,0,0,2023-2024
1362,Manu Koné,France,MF,Gladbach,Bundesliga,22,2001,22,1561,1,0,1,1,0,1.2,1.2,42,70,0.06,0,45,26,68,1,21,15,16,1,0,0,0,0,0,0,0,583,688,84.7,2218,89.7,88.4,70.5,24,45,12,23,69,53.6,37.7,42,33,6,41,1,24,33.3,0.46,0.04,0.13,46.7,3.4,0.17,0,2023-2024
1365,Odilon Kossounou,Ivory Coast,DF,Leverkusen,Bundesliga,22,2001,22,1811,1,0,1,1,0,0.6,0.6,48,141,0.05,0,30,20,57.7,3,24,27,43,1,0,0,0,0,0,0,0,1274,1428,89.2,6199,92.8,92.9,71.4,10,155,16,67,40,57.5,42.5,48,35,4,15,1,5,20,0.05,0.2,1,57.5,1.64,0.15,0,2023-2024
1371,Tomáš Koubek,Czech Republic,GK,Augsburg,Bundesliga,30,1992,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,2.67,17,68,0,0,0,69,98,70.4,1604,100,100,49.1,0,1,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,2023-2024
1378,Matej Kovar,Czech Republic,GK,Leverkusen,Bundesliga,23,2000,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,1,100,0,17,17,100,274,100,100,100,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,2023-2024
1379,Dawid Kownacki,Poland,FW,Werder Bremen,Bundesliga,26,1997,22,380,0,0,0,0,0,1.3,1.3,5,10,0,0,1,1,25,1,2,0,1,0,0,0,0,0,0,0,0,69,109,63.3,199,72,61.8,57.1,5,10,1,2,3,66.7,33.3,5,1,3,5,0,19,21.1,0.95,0,0,50,4.01,0.47,0,2023-2024
1381,Alex Král,Czech Republic,MF,Union Berlin,Bundesliga,25,1998,24,1370,0,0,0,0,0,1.7,1.7,15,44,0,0,19,14,40,4,11,11,30,0,0,0,0,0,0,0,0,340,487,69.8,1533,80.6,76,43.6,5,32,6,37,12,41.7,41.7,15,16,1,12,0,18,27.8,0.33,0,0,48.5,1.51,0,0,2023-2024
1382,Andrej Kramarić,Croatia,MF,Hoffenheim,Bundesliga,32,1991,30,2199,15,6,21,10,5,11.1,7.1,71,119,0.61,0.25,11,2,46.2,2,12,10,12,2,0,0,0,0,0,0,0,904,1139,79.4,3748,88.5,81.8,54.5,78,67,22,29,51,49,43.1,71,49,24,27,15,64,45.3,1.19,0.16,0.34,40.9,5.53,0.65,0,2023-2024
1383,Christoph Kramer,Germany,MF,Gladbach,Bundesliga,32,1991,14,249,0,0,0,0,0,0.1,0.1,10,17,0,0,10,5,14.3,1,6,4,6,0,0,0,0,0,0,0,0,145,183,79.2,667,80.6,88.4,58.3,2,14,1,6,10,40,50,10,3,4,4,0,1,0,0,0,0,50,1.8,0,0,2023-2024
1384,Frans Krätzig,Germany,DF,Bayern Munich,Bundesliga,20,2003,4,56,0,0,0,0,0,0.3,0.3,0,7,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,45,50,90,183,92.3,90,66.7,2,3,1,4,1,0,100,0,1,0,2,0,2,100,3.21,0,0,0,3.16,0,0,2023-2024
1385,Tom Krauß,Germany,MF,Mainz 05,Bundesliga,22,2001,29,1346,1,2,3,1,0,0.8,0.8,12,68,0.07,0.13,57,33,36.2,4,29,17,28,0,0,0,0,0,0,0,0,486,651,74.7,2399,83.4,81.6,45.9,7,42,9,40,12,25,66.7,12,13,4,13,1,19,10.5,0.13,0.05,0.5,57.7,1.47,0.2,0,2023-2024
1391,Lukas Kübler,Germany,DF,Freiburg,Bundesliga,30,1992,26,1847,1,0,1,1,0,0.6,0.6,13,70,0.05,0,50,24,61.9,14,22,37,57,1,0,0,0,0,0,0,0,805,1030,78.2,4910,88.8,80.4,50.7,4,74,4,106,10,30,30,13,14,0,6,1,8,37.5,0.15,0.13,0.33,58.3,0.68,0.1,0,2023-2024
1405,Moritz-Broni Kwarteng,Ghana,FW,Bochum,Bundesliga,25,1998,11,281,0,1,1,0,0,1,1,8,6,0,0.32,3,0,14.3,0,4,2,0,0,0,0,0,0,0,0,0,67,94,71.3,208,88.1,69.4,33.3,4,3,2,0,18,38.9,44.4,8,6,3,5,0,14,21.4,0.96,0,0,0,5.44,0.32,0,2023-2024
1411,Maxence Lacroix,France,DF,Wolfsburg,Bundesliga,23,2000,28,2362,4,1,5,4,0,0.8,0.8,5,79,0.15,0.04,48,29,70.7,12,23,24,121,0,0,0,0,0,0,0,0,1228,1449,84.7,9524,88.4,90.1,69.4,8,91,6,193,15,46.7,53.3,5,9,0,1,4,12,66.7,0.3,0.33,0.5,56.1,0.91,0.08,0,2023-2024
1414,Aïssa Laïdouni,Tunisia,MF,Union Berlin,Bundesliga,26,1996,23,1071,0,3,3,0,0,0.7,0.7,24,56,0,0.25,21,12,33.3,2,24,12,14,2,0,0,0,0,0,0,0,404,512,78.9,1856,85.1,80.6,67.3,12,38,17,19,27,37,59.3,24,17,5,20,0,13,38.5,0.42,0,0,46.2,2.44,0.34,0,2023-2024
1415,Konrad Laimer,Austria,DF,Bayern Munich,Bundesliga,26,1997,29,1772,0,3,3,0,0,1,1,62,127,0,0.15,56,36,42.3,6,36,18,13,2,0,0,0,0,0,0,0,1294,1457,88.8,5056,91.9,92.4,74.5,24,104,26,37,48,47.9,45.8,62,56,17,17,0,17,29.4,0.25,0,0,38.7,3.4,0.41,0,2023-2024
1416,Stefan Lainer,Austria,DF,Gladbach,Bundesliga,30,1992,15,751,0,1,1,0,0,0.2,0.2,15,37,0,0.12,23,16,58.3,6,7,5,28,0,0,0,0,0,0,0,0,375,483,77.6,1973,87.5,79.1,39.5,8,22,12,36,8,25,75,15,14,3,4,0,3,0,0,0,0,36.8,2.28,0.12,0,2023-2024
1430,Hugo Larsson,Sweden,MF,Eint Frankfurt,Bundesliga,19,2004,29,1886,2,1,3,2,0,1.3,1.3,26,68,0.1,0.05,32,18,53.6,7,27,29,30,1,0,0,0,0,0,0,0,835,965,86.5,3346,89.7,90.9,71.1,10,52,8,52,19,36.8,57.9,26,19,4,7,2,10,40,0.19,0.2,0.5,32.1,1.19,0.24,0,2023-2024
1454,Diogo Leite,Portugal,DF,Union Berlin,Bundesliga,24,1999,32,2702,0,0,0,0,0,0.8,0.8,14,121,0,0,52,36,49,22,26,47,155,1,0,0,0,0,0,0,0,1263,1581,79.9,9175,89.8,86.8,50.6,6,113,3,243,11,54.5,45.5,14,9,2,7,0,13,30.8,0.13,0,0,61.7,0.8,0.1,0,2023-2024
1455,Maxim Leitsch,Germany,DF,Mainz 05,Bundesliga,25,1998,7,379,0,0,0,0,0,0,0,1,7,0,0,6,3,50,0,2,4,13,0,0,0,0,0,0,0,0,133,171,77.8,1006,68.6,85.9,70.8,0,7,1,26,2,0,100,1,0,0,0,0,0,0,0,0,0,68.4,0.24,0.24,0,2023-2024
1465,Christopher Lenz,Germany,DF,RB Leipzig,Bundesliga,28,1994,5,47,0,0,0,0,0,0,0,1,2,0,0,2,1,100,0,0,2,2,0,0,0,0,0,0,0,0,38,49,77.6,211,93.8,91.3,0,1,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,66.7,3.83,0,0,2023-2024
1471,Jamie Leweling,Germany,FW,Stuttgart,Bundesliga,22,2001,34,1523,4,4,8,4,0,6.1,6.1,65,35,0.24,0.24,18,10,29.4,1,20,5,13,0,0,0,0,0,0,0,0,470,599,78.5,1524,86.4,77.7,51.2,23,19,18,18,58,44.8,46.6,65,38,28,39,4,44,50,1.3,0.09,0.18,23.5,3.61,0.47,0,2023-2024
1474,Philipp Lienhart,Austria,DF,Freiburg,Bundesliga,27,1996,15,1265,1,0,1,1,0,1.1,1.1,14,53,0.07,0,20,13,56.5,11,7,14,51,0,0,0,0,0,0,0,0,814,982,82.9,6421,88.1,92.8,55.8,3,51,5,110,3,0,100,14,12,0,0,1,7,42.9,0.21,0.14,0.33,70.2,1,0.07,0,2023-2024
1475,Matthijs de Ligt,Netherlands,DF,Bayern Munich,Bundesliga,23,1999,22,1390,2,0,2,2,0,1.7,1.7,16,98,0.13,0,15,12,54.5,10,4,19,52,0,0,0,0,0,0,0,0,1120,1193,93.9,7091,94.8,97.1,76.9,3,109,1,118,2,100,0,16,15,2,2,2,14,42.9,0.39,0.14,0.33,59.4,0.84,0.06,0,2023-2024
1485,Dejan Ljubicic,Austria,MF,Köln,Bundesliga,25,1997,26,2048,0,2,2,0,0,1.9,1.9,41,84,0,0.09,43,27,46.5,2,20,18,11,0,0,0,0,0,0,0,0,670,843,79.5,2716,87,81.4,64.6,28,54,20,20,33,45.5,48.5,41,47,5,18,0,38,23.7,0.4,0,0,42.1,2.68,0.09,0,2023-2024
1502,Noah Loosli,Switzerland,DF,Bochum,Bundesliga,26,1997,10,346,0,0,0,0,0,0,0,1,6,0,0,10,7,50,1,6,7,18,0,0,0,0,0,0,0,0,81,127,63.8,512,81.3,69.4,30.4,0,4,1,18,1,100,0,1,1,0,0,0,0,0,0,0,0,41.7,0.52,0,0,2023-2024
1513,Anthony Losilla,France,MF,Bochum,Bundesliga,37,1986,31,2576,1,2,3,1,0,2.3,2.3,11,100,0.03,0.07,63,37,45.1,8,29,25,51,0,0,0,0,0,0,0,0,649,896,72.4,3147,76,75.1,60,19,69,10,69,23,43.5,56.5,11,11,2,12,1,28,21.4,0.21,0.04,0.17,60.3,1.5,0.07,0,2023-2024
1532,Castello Lukeba,France,DF,RB Leipzig,Bundesliga,20,2002,32,2191,1,0,1,1,0,0.8,0.8,23,107,0.04,0,19,12,83.3,13,22,12,94,2,0,0,0,0,0,0,0,1726,1885,91.6,11113,94.5,96.1,60.5,4,107,8,191,31,54.8,19.4,23,23,1,9,1,7,42.9,0.12,0.14,0.33,54.2,0.49,0.04,0,2023-2024
1542,Senne Lynen,Belgium,MF,Werder Bremen,Bundesliga,24,1999,32,1797,0,3,3,0,0,0.4,0.4,10,66,0,0.15,64,38,42.9,8,33,41,56,0,0,0,0,0,0,0,0,746,903,82.6,3571,86.8,84.8,69.7,15,67,7,76,20,40,50,10,9,2,9,0,12,16.7,0.1,0,0,29.3,1.35,0.25,0,2023-2024
1546,Ian Maatsen,Netherlands,DF,Dortmund,Bundesliga,21,2002,16,1264,2,2,4,2,0,0.9,0.9,41,80,0.14,0.14,30,22,53.3,4,18,13,26,0,0,0,0,0,0,0,0,928,1060,87.5,4217,93.4,88.9,69.9,8,70,18,40,23,56.5,43.5,41,23,8,9,2,11,36.4,0.28,0.18,0.5,18.2,1.92,0.36,0,2023-2024
1556,Matej Maglica,Croatia,DF,Darmstadt 98,Bundesliga,24,1998,26,1698,1,0,1,1,0,0.6,0.6,11,62,0.05,0,35,21,61.1,11,18,22,92,5,0,0,0,0,0,0,0,759,999,76,5811,89.4,86.1,46.9,9,60,5,137,4,25,75,11,11,1,6,1,10,20,0.11,0.1,0.5,68,1.11,0,0,2023-2024
1564,Arne Maier,Germany,MF,Augsburg,Bundesliga,24,1999,22,1003,2,4,6,2,0,1.5,1.5,17,64,0.18,0.36,14,9,35.7,2,17,6,11,0,0,0,0,0,0,0,0,449,593,75.7,2523,86.3,80.2,59.1,28,49,27,15,20,60,40,17,11,6,11,2,22,22.7,0.45,0.09,0.4,60,5.92,0.54,0,2023-2024
1567,Linton Maina,Germany,FW,Köln,Bundesliga,24,1999,31,1901,1,3,4,1,0,1.9,1.9,109,61,0.05,0.14,18,15,32.1,1,11,6,12,0,0,0,0,0,0,0,0,484,661,73.2,1773,86,77,45.7,20,28,16,14,57,38.6,54.4,109,64,47,27,1,33,33.3,0.52,0.03,0.09,0,2.75,0.24,0,2023-2024
1568,Patrick Mainka,Germany,DF,Heidenheim,Bundesliga,28,1994,34,3060,2,0,2,2,0,3.2,3.2,33,122,0.06,0,85,49,51.4,32,34,49,158,1,0,0,0,0,0,0,0,1289,1555,82.9,10674,85.7,89.3,65.4,3,77,2,267,20,50,35,33,15,0,5,2,29,20.7,0.18,0.07,0.33,58.6,0.76,0.03,0,2023-2024
1573,Lovro Majer,Croatia,MF,Wolfsburg,Bundesliga,25,1998,32,2106,5,5,10,3,2,5.4,3.8,61,124,0.21,0.21,39,18,38.7,1,19,12,13,0,0,0,0,0,0,0,0,760,1039,73.1,3406,86,77.8,45,38,86,29,14,50,50,38,61,38,9,27,5,35,28.6,0.43,0.09,0.3,37.9,3.59,0.47,0,2023-2024
1575,Jordy Makengo,France,DF,Freiburg,Bundesliga,21,2001,20,1026,0,0,0,0,0,0.2,0.2,27,52,0,0,17,11,60,4,12,11,37,0,0,0,0,0,0,0,0,449,545,82.4,2108,88.1,89.8,47.1,5,36,5,50,26,46.2,38.5,27,20,3,5,0,3,0,0,0,0,53.1,1.49,0.09,0,2023-2024
1578,Julián Malatini,Argentina,DF,Werder Bremen,Bundesliga,22,2001,11,602,1,0,1,1,0,1,1,9,27,0.15,0,18,13,66.7,1,7,13,26,0,0,0,0,0,0,0,0,295,364,81,1552,89.4,87.8,47.6,4,29,3,40,7,85.7,14.3,9,4,0,3,1,3,33.3,0.15,0.33,1,47.4,0.9,0.15,0,2023-2024
1582,Donyell Malen,Netherlands,FW,Dortmund,Bundesliga,24,1999,27,1781,13,1,14,13,0,9.5,9.5,73,57,0.66,0.05,11,7,33.3,4,7,2,8,0,0,0,0,0,0,0,0,410,546,75.1,1551,84.5,75.7,54.5,22,21,36,10,95,44.2,42.1,73,49,45,39,13,72,50,1.82,0.18,0.36,26.9,3.74,0.71,0,2023-2024
1584,Lennard Maloney,United States,MF,Heidenheim,Bundesliga,23,1999,29,2284,1,1,2,1,0,0.8,0.8,3,62,0.04,0.04,43,26,42.4,9,24,25,88,0,0,0,0,0,0,0,0,698,942,74.1,3511,76.5,82.3,58.5,8,58,6,105,8,75,25,3,8,0,11,1,14,21.4,0.12,0.07,0.33,57.8,0.79,0.08,0,2023-2024
